"I had to give this film a 10 simply because it did what so many films thrown at black audiences have FAILED MISERABLY to do. This film was void of all the video whore clichés, and it also skipped the gangsters, rappers, and foul language. It examined several relationships among physicians, African Americans, and African American male/female romantic relationships on a completely new and refreshing level. I was highly impressed with the films careful mix of light headed humor with some pretty tough and heavy issues. The film will leave you feeling happy and sad all at the same time. I saw it at the Boston Film Festival as well. It premiered at AMC Loews Boston and I truly hope this film makes it to much larger audiences. Black People (and EVERYONE else) would LOVE a movie like this- if only the industry was SMART enough to put them out there!<br /><br />As an extra- if your a doctor, a resident, a medical student, a premedical student, married to a doctor, have a doctor sibling, have a doctor in the family, or know a great doctor period- they would love this film as well. It portrayed residency and the practice in a true-to-life way that was greatly appreciated by the doctors, residents, and medical students who viewed the film. Dennis Cooper completely his residency in internal medicine- so he definitely applied his knowledge/experience to the film and that is greatly apparent.",positive
"I have seen this movie many times, (and recently read the book the movie is based on) and every time I see it, I just want to slap all four of them. The fact that they don't clue in to the fact that Tom Hank's character is flipping into his D&D(oops M&M) :) persona (""Oh, he's just acting in character."") outside of the gaming session. That and the fact that after three months of therapy, let's just destroy all that and feed his delusions! These kind of people are what give RPGs a bad name.<br /><br />Also the corny 'love ballad', and the music done by 'cat on a piano' and 'stop us if we get too annoying' are almost enough to set your teeth on edge!",negative
"I just watched the 30th Anniversary edition of Blazing Saddles, one of my all time Favorites!! The TV Pilot for Black Bart stunk. The plot was non-existent and the acting was not good. It was obviously an attempt to profit off of the success of Blazing Saddles and there have been TV shows that have succeeded in doing take-offs of big movies, but this one would never have worked. Considering that for so many years TV would not even play the farting noises when they televised the movie, it is inconceivable that they thought they could put a show on TV with the ""N"" word thrown around. On the other hand, I enjoyed seeing a lot of familiar faces!!! There were quite a few actors/actresses that I recognized from other shows over the years. I had to write down all the names and do a few searches. That was fun. I was arguing with my mother if Steve Landesberg was from Barney Miller or Mash. I won! :)",negative
"National Lampoon was once a funny magazine. Whether you liked the stoner hippie days of the late sixties or the smug and sassy coke-head days of the seventies (when the comedy was fortified with plenty of naked babes) depends very much on your date of birth, but everyone agrees that by the early eighties, middle age had killed off whichever remaining sparks of anarchic humour that the drugs hadn't, and offerings like this film and the increasingly terrible spin-off records shot further holes in the hull. Outside of a nicely illustrated title sequence, there's absolutely nothing to recommend this singularly depressing stinkbug. If you make it through the baffling opening segment, 'Growing Myself', hoping things will get better, tough luck - they don't. Whoever thought the idea of a woman being brutally raped with a stick of butter was comedy gold deserved to have his head handed back to him on a platter of dog mess. If there's ever a global shortage of guitar picks, the negatives of this rambling, incoherent ragbag of crummy ideas and dire performances may well serve some purpose.",negative
"If you'd like a great April Fool's joke, then please by all means show this film to someone. However, it is important that you in no way criticize the film but instead talk about what an artistic triumph it is and how ""they just don't make great films like this any more"". As your victim watches many disconnected and nonsensical scenes (such as a cute dog getting punted for no apparent reason, a cow standing on the bed, a woman licking a statue's feet or Jesus apparently raping a woman), make lots of comments using words like ""brilliance"", ""juxtaposed"" or ""transcendent""--all the while acting as if the film actually makes perfect sense and isn't a complete waste of an hour of your life. Also be sure to keep a straight face and feign shock when (and if) they say that they either didn't understand it or thought it had all the artistry of a cow patty. Then, to further mess with them, show them all the comments on IMDb, as nearly all (except for a few trouble-makers like almagz and rooprect) talk glowingly about what genius and artistry this film is! By the time you are done with this little charade, they'll most likely think they are idiots and will make an appointment with a psychologist. <br /><br />This, to me, is the ONLY possible reason to watch this horrid mess of a film!!! That, or you could show it to the prisoners at Guantanamo in order to get them to talk!<br /><br />If you ask me, the famous painting of dogs playing poker or a velvet Elvis painting are superior artistically.",negative
"With No Dead Heroes you get stupid lines like that as this woefully abysmal action flick needs to be seen to be believed. William Sanders is saved by his buddy Harry Cotter during an extraction in Vietnam but gets himself captured by the enemy. Fast forward ten years and Harry is now a brainwashed Russian operative with a mind control microchip implanted in his brain. His new Russian superior is Ivan played to the obscene hilt by Nick Nicholson who might I add not only doesn't attempt once to speak with a Russian accent but resembles more a gas station attendant in Kentucky with his stained teeth. What is even more absurd is the fact that he was also the dialog coach for this film. Soon William is re-recruited by the CIA to hunt Harry down. He teams up with Barbara, a freedom fighter who has infiltrated Ivan's El Salvador camp and soon the both of them are blowing up half of South America. Some scenes are so jaw droppingly awful that it's a wonder why this film doesn't have more of a cult following. One such scene is the sudden lovemaking in the jungle by William and Barbara accompanied by the most inappropriate catterwalling background music I've ever heard. Who would strip completely nude in the middle of a South American jungle? There is a rape scene that uses the end theme from Blood on Satan's Claw as well. No Dead Heroes is the magic bullet movie champion of all time as one shot leads to multiple kills. In one scene Harry strafes his rifle from behind a rock and kills seven guys. I had to rewind it and count. Hard to find film that has recently gotten the full HD treatment by MGM. Track this movie down and watch it for the sheer silliness that ensues.",negative
"There are bad movies, terrible movies even boring movies...I can watch most and put up until the end, not this time. Avoid this like the plague, annoying music throughout, terrible editing, no comedy, its tackier than a novelty mug...My missus wanted to watch this thinking it would be Legally Blonde material or something kind of watchable, but never better than average, chick flick. Its the first time she was begging me to push the stop button.<br /><br />The Girls, well, they were not great to start with (Denise done OK in Starship Troopers and Wild things) but you have sank to the gravel. I feel like a mug having spent 30 minutes on this...Pamela Anderson is almost unrecognisable after much construction work to her face.<br /><br />Please take my advice if you want to avoid wasting valuable oxygen and brain cells ranting at the utter mince that is on your screen.",negative
"My boss at the time and showed it to us at a Halloween party at our office. He is the Chris Huntley that co-wrote and acted in it. He knows it's bad, we know it's bad and we all agree that the monster looks WAY too much like a vagina to be coincidence. Maybe it was from a gynocological experiment gone wrong.<br /><br />It was a VERY low budget and the actors were all friends so what you have here is a case of ""hey gang, lets' put on a show"".<br /><br />Nobody got hurt and it was a first attempt. Nothing wrong with that. It gave us all a good laugh and it's a great film to watch with friends and make fun of. :-)",negative
"I read a few reviews of the movie and got the impression that it was not as good as the previous Karate Kid installments. Although my favorite is still Karate Kid II, I felt this fourth installment of the movie series was consistent with the others and had some important lessons to share. Unlike the previous versions, the karate student is a female teenager who takes a somewhat different learning path, rather than a male teenager. Maggi finds this a little more challenging, but rises to the occasion. The plot twists are believable and predictable. I found that the bad guys are a little one dimensional, but this weakness is present in all the installments in varying degrees. The camera work is impressive and pans across some beautiful scenery from time to time. The Zen monastery is both austere and charming. The Zen monks add some humor and lightness to the narrative flow. I liked the ""Zen Bowling"" scenes which are a humorous counterpoint to the more serious Zen archery scene earlier on. The quality level of the movie is like a good TV series. The music chosen for the background is very good, especially with the Little River Band playing ""Listen to Your Heart"". The lessons in the movie are valuable and worthwhile to learn. They feel faithful to the spirit of karate and take care not to over-glorify the fighting part. All in all, I enjoyed it.",positive
"I honestly want the last 30 minuets of my life back.<br /><br />The only person that is fit to watch this movie is Helen Keller I kept saying to myself this has to get better this has to get better.<br /><br />Then the zombies finally showed up and they had some raccoon paint on there eyes.<br /><br />They talked like regular people.<br /><br />One drove a car.<br /><br />Some voodoo woman asked what one of the ""Zombies"" wanted and the "" zombie"" said ( I want to Dance)<br /><br />( THAT WAS IT) Out came the movie I couldn't take it any longer Can I sue for a ½ hour of my life?????",negative
